Acronym,Name,Hemisphere ID
Left: AIp1,"Agranular insular area, posterior part, layer 1",3
Right: AIp1,"Agranular insular area, posterior part, layer 1",3
Left: AIp2/3,"Agranular insular area, posterior part, layer 2/3",3
Right: AIp2/3,"Agranular insular area, posterior part, layer 2/3",3
Left: AIp5,"Agranular insular area, posterior part, layer 5",3
Right: AIp5,"Agranular insular area, posterior part, layer 5",3
Left: AIp6a,"Agranular insular area, posterior part, layer 6a",3
Right: AIp6a,"Agranular insular area, posterior part, layer 6a",3
Left: AIp6b,"Agranular insular area, posterior part, layer 6b",3
Right: AIp6b,"Agranular insular area, posterior part, layer 6b",3
Left: AIv1,"Agranular insular area, ventral part, layer 1",3
Right: AIv1,"Agranular insular area, ventral part, layer 1",3
Left: AIv2/3,"Agranular insular area, ventral part, layer 2/3",3
